0xed434c47bdf089ee490bd5a53ceb283c5a8f702cfae50aafdd1987f6e5966bee,enterMarkets,0xc2998238, 0000000000000000000000000000000000000000000000000000000000000020, 0000000000000000000000000000000000000000000000000000000000000006, 0000000000000000000000006c8c6b02e7b2be14d4fa6022dfd6d75921d90e4e, 000000000000000000000000f5dce57282a584d2746faf1593d3121fcac444dc, 0000000000000000000000004ddc2d193948926d02f9b1fe9e1daa0718270ed5, 000000000000000000000000158079ee67fce2f58472a96584a73c7ab9ac95c1, 00000000000000000000000039aa39c021dfbae8fac545936693ac917d5e7563, 000000000000000000000000b3319f5d18bc0d84dd1b4825dcde5d5f7266d407
0x23761085c0fe79a442746b945a2ccb95a038fffc4542b08666c77bce3ea8241e,enterMarkets,0xc2998238, 0000000000000000000000000000000000000000000000000000000000000020, 0000000000000000000000000000000000000000000000000000000000000006, 0000000000000000000000006c8c6b02e7b2be14d4fa6022dfd6d75921d90e4e, 000000000000000000000000f5dce57282a584d2746faf1593d3121fcac444dc, 0000000000000000000000004ddc2d193948926d02f9b1fe9e1daa0718270ed5, 000000000000000000000000158079ee67fce2f58472a96584a73c7ab9ac95c1, 00000000000000000000000039aa39c021dfbae8fac545936693ac917d5e7563, 000000000000000000000000b3319f5d18bc0d84dd1b4825dcde5d5f7266d407
0xbd0d610a008c740f130ad7733eb36c121194f9242eb3dfbb6e2df0ae04cf78fb,enterMarkets,0xc2998238, 0000000000000000000000000000000000000000000000000000000000000020, 0000000000000000000000000000000000000000000000000000000000000006, 0000000000000000000000006c8c6b02e7b2be14d4fa6022dfd6d75921d90e4e, 000000000000000000000000f5dce57282a584d2746faf1593d3121fcac444dc, 0000000000000000000000004ddc2d193948926d02f9b1fe9e1daa0718270ed5, 000000000000000000000000158079ee67fce2f58472a96584a73c7ab9ac95c1, 00000000000000000000000039aa39c021dfbae8fac545936693ac917d5e7563, 000000000000000000000000b3319f5d18bc0d84dd1b4825dcde5d5f7266d407
0x711f1bec0c56ce2d93431be482b7beefe46b63637f05ab1e8c14288c41167a5d,enterMarkets,0xc2998238, 0000000000000000000000000000000000000000000000000000000000000020, 0000000000000000000000000000000000000000000000000000000000000006, 0000000000000000000000006c8c6b02e7b2be14d4fa6022dfd6d75921d90e4e, 000000000000000000000000f5dce57282a584d2746faf1593d3121fcac444dc, 0000000000000000000000004ddc2d193948926d02f9b1fe9e1daa0718270ed5, 000000000000000000000000158079ee67fce2f58472a96584a73c7ab9ac95c1, 00000000000000000000000039aa39c021dfbae8fac545936693ac917d5e7563, 000000000000000000000000b3319f5d18bc0d84dd1b4825dcde5d5f7266d407
0xa42602cc874a712f99cca31851e34442d4e7e4eb84badab396e6adfbcdf4fb97,enterMarkets,0xc2998238, 0000000000000000000000000000000000000000000000000000000000000020, 0000000000000000000000000000000000000000000000000000000000000006, 0000000000000000000000006c8c6b02e7b2be14d4fa6022dfd6d75921d90e4e, 000000000000000000000000f5dce57282a584d2746faf1593d3121fcac444dc, 0000000000000000000000004ddc2d193948926d02f9b1fe9e1daa0718270ed5, 000000000000000000000000158079ee67fce2f58472a96584a73c7ab9ac95c1, 00000000000000000000000039aa39c021dfbae8fac545936693ac917d5e7563, 000000000000000000000000b3319f5d18bc0d84dd1b4825dcde5d5f7266d407
0x1ad07f5a9d14ba5eb50b52e8ad199266676976ea99ebcc129890295182b197e2,enterMarkets,0xc2998238, 0000000000000000000000000000000000000000000000000000000000000020, 0000000000000000000000000000000000000000000000000000000000000006, 0000000000000000000000006c8c6b02e7b2be14d4fa6022dfd6d75921d90e4e, 000000000000000000000000f5dce57282a584d2746faf1593d3121fcac444dc, 0000000000000000000000004ddc2d193948926d02f9b1fe9e1daa0718270ed5, 000000000000000000000000158079ee67fce2f58472a96584a73c7ab9ac95c1, 00000000000000000000000039aa39c021dfbae8fac545936693ac917d5e7563, 000000000000000000000000b3319f5d18bc0d84dd1b4825dcde5d5f7266d407
0x8efc4a2a50c24a1c16a9f517028876d046799fb65f545f4a04708c42328fd161,enterMarkets,0xc2998238, 0000000000000000000000000000000000000000000000000000000000000020, 0000000000000000000000000000000000000000000000000000000000000006, 0000000000000000000000006c8c6b02e7b2be14d4fa6022dfd6d75921d90e4e, 000000000000000000000000f5dce57282a584d2746faf1593d3121fcac444dc, 0000000000000000000000004ddc2d193948926d02f9b1fe9e1daa0718270ed5, 000000000000000000000000158079ee67fce2f58472a96584a73c7ab9ac95c1, 00000000000000000000000039aa39c021dfbae8fac545936693ac917d5e7563, 000000000000000000000000b3319f5d18bc0d84dd1b4825dcde5d5f7266d407
0x76ff0f593837c0d9e364b2c6611c9cbed7dc08901112f17b1b8c9934046b6288,enterMarkets,0xc2998238, 0000000000000000000000000000000000000000000000000000000000000020, 0000000000000000000000000000000000000000000000000000000000000006, 0000000000000000000000006c8c6b02e7b2be14d4fa6022dfd6d75921d90e4e, 000000000000000000000000f5dce57282a584d2746faf1593d3121fcac444dc, 0000000000000000000000004ddc2d193948926d02f9b1fe9e1daa0718270ed5, 000000000000000000000000158079ee67fce2f58472a96584a73c7ab9ac95c1, 00000000000000000000000039aa39c021dfbae8fac545936693ac917d5e7563, 000000000000000000000000b3319f5d18bc0d84dd1b4825dcde5d5f7266d407
0xb3daf4ad0630330587df01eb29273f0c11a6dc1e75c792ad8bc5d452a3d2f6a0,enterMarkets,0xc2998238, 0000000000000000000000000000000000000000000000000000000000000020, 0000000000000000000000000000000000000000000000000000000000000006, 0000000000000000000000006c8c6b02e7b2be14d4fa6022dfd6d75921d90e4e, 000000000000000000000000f5dce57282a584d2746faf1593d3121fcac444dc, 0000000000000000000000004ddc2d193948926d02f9b1fe9e1daa0718270ed5, 000000000000000000000000158079ee67fce2f58472a96584a73c7ab9ac95c1, 00000000000000000000000039aa39c021dfbae8fac545936693ac917d5e7563, 000000000000000000000000b3319f5d18bc0d84dd1b4825dcde5d5f7266d407
0x46a75251342fd9b3f1209a30530c19c4f951bba58c3bba3e9c922f3dcecfc6da,enterMarkets,0xc2998238, 0000000000000000000000000000000000000000000000000000000000000020, 0000000000000000000000000000000000000000000000000000000000000006, 0000000000000000000000006c8c6b02e7b2be14d4fa6022dfd6d75921d90e4e, 000000000000000000000000f5dce57282a584d2746faf1593d3121fcac444dc, 0000000000000000000000004ddc2d193948926d02f9b1fe9e1daa0718270ed5, 000000000000000000000000158079ee67fce2f58472a96584a73c7ab9ac95c1, 00000000000000000000000039aa39c021dfbae8fac545936693ac917d5e7563, 000000000000000000000000b3319f5d18bc0d84dd1b4825dcde5d5f7266d407
0x42b99b5ed3059236c3f618e28c861f702ba2f9dfcc40ffad7e03e6313a2d8d78,enterMarkets,0xc2998238, 0000000000000000000000000000000000000000000000000000000000000020, 0000000000000000000000000000000000000000000000000000000000000006, 0000000000000000000000006c8c6b02e7b2be14d4fa6022dfd6d75921d90e4e, 000000000000000000000000f5dce57282a584d2746faf1593d3121fcac444dc, 0000000000000000000000004ddc2d193948926d02f9b1fe9e1daa0718270ed5, 000000000000000000000000158079ee67fce2f58472a96584a73c7ab9ac95c1, 00000000000000000000000039aa39c021dfbae8fac545936693ac917d5e7563, 000000000000000000000000b3319f5d18bc0d84dd1b4825dcde5d5f7266d407
0x6df238cb319b597bf5aaa952465ab908b5541b6abdf318d53237a85044ffa7cc,enterMarkets,0xc2998238, 0000000000000000000000000000000000000000000000000000000000000020, 0000000000000000000000000000000000000000000000000000000000000006, 0000000000000000000000006c8c6b02e7b2be14d4fa6022dfd6d75921d90e4e, 000000000000000000000000f5dce57282a584d2746faf1593d3121fcac444dc, 0000000000000000000000004ddc2d193948926d02f9b1fe9e1daa0718270ed5, 000000000000000000000000158079ee67fce2f58472a96584a73c7ab9ac95c1, 00000000000000000000000039aa39c021dfbae8fac545936693ac917d5e7563, 000000000000000000000000b3319f5d18bc0d84dd1b4825dcde5d5f7266d407
0xebc99d210648311a48af55436752d5b2111f43c3d6e09c2a1a5e0666010b425f,enterMarkets,0xc2998238, 0000000000000000000000000000000000000000000000000000000000000020, 0000000000000000000000000000000000000000000000000000000000000006, 0000000000000000000000006c8c6b02e7b2be14d4fa6022dfd6d75921d90e4e, 000000000000000000000000f5dce57282a584d2746faf1593d3121fcac444dc, 0000000000000000000000004ddc2d193948926d02f9b1fe9e1daa0718270ed5, 000000000000000000000000158079ee67fce2f58472a96584a73c7ab9ac95c1, 00000000000000000000000039aa39c021dfbae8fac545936693ac917d5e7563, 000000000000000000000000b3319f5d18bc0d84dd1b4825dcde5d5f7266d407
0xb529971ec7a9e4788950dcb882c5bb3a22ace037acc476f87c2317b387d7f64c,enterMarkets,0xc2998238, 0000000000000000000000000000000000000000000000000000000000000020, 0000000000000000000000000000000000000000000000000000000000000006, 0000000000000000000000006c8c6b02e7b2be14d4fa6022dfd6d75921d90e4e, 000000000000000000000000f5dce57282a584d2746faf1593d3121fcac444dc, 0000000000000000000000004ddc2d193948926d02f9b1fe9e1daa0718270ed5, 000000000000000000000000158079ee67fce2f58472a96584a73c7ab9ac95c1, 00000000000000000000000039aa39c021dfbae8fac545936693ac917d5e7563, 000000000000000000000000b3319f5d18bc0d84dd1b4825dcde5d5f7266d407
0x6898b33ea3bdb67949be585d282af24404ac5d8a390e9c67b6adcd3937b02e23,enterMarkets,0xc2998238, 0000000000000000000000000000000000000000000000000000000000000020, 0000000000000000000000000000000000000000000000000000000000000006, 0000000000000000000000006c8c6b02e7b2be14d4fa6022dfd6d75921d90e4e, 000000000000000000000000f5dce57282a584d2746faf1593d3121fcac444dc, 0000000000000000000000004ddc2d193948926d02f9b1fe9e1daa0718270ed5, 000000000000000000000000158079ee67fce2f58472a96584a73c7ab9ac95c1, 00000000000000000000000039aa39c021dfbae8fac545936693ac917d5e7563, 000000000000000000000000b3319f5d18bc0d84dd1b4825dcde5d5f7266d407
0x7a984419bbf2106b834269d7f3a312a9a8f02b1c8546f9a0a516a94ee0366920,_setPendingImplementation,0xe992a041, 000000000000000000000000178053c06006e67e09879c09ff012ff9d263df29
0xe0d439e9bcbf5d4fcbd4235ebafee2ae4d0701ee3f6f7d4191c132141fa9a0f7,_setPendingImplementation,0xe992a041, 000000000000000000000000178053c06006e67e09879c09ff012ff9d263df29
0xec337466f752c21840ff9fae95490a818577e7fdc8cec463e18d3b9fbd708719,enterMarkets,0xc2998238, 0000000000000000000000000000000000000000000000000000000000000020, 0000000000000000000000000000000000000000000000000000000000000006, 0000000000000000000000006c8c6b02e7b2be14d4fa6022dfd6d75921d90e4e, 000000000000000000000000f5dce57282a584d2746faf1593d3121fcac444dc, 0000000000000000000000004ddc2d193948926d02f9b1fe9e1daa0718270ed5, 000000000000000000000000158079ee67fce2f58472a96584a73c7ab9ac95c1, 00000000000000000000000039aa39c021dfbae8fac545936693ac917d5e7563, 000000000000000000000000b3319f5d18bc0d84dd1b4825dcde5d5f7266d407
0x1af1c48804d7bba791f2b6319a47d2414608dcad4260624432541ebe95ad8083,enterMarkets,0xc2998238, 0000000000000000000000000000000000000000000000000000000000000020, 0000000000000000000000000000000000000000000000000000000000000006, 0000000000000000000000006c8c6b02e7b2be14d4fa6022dfd6d75921d90e4e, 000000000000000000000000f5dce57282a584d2746faf1593d3121fcac444dc, 0000000000000000000000004ddc2d193948926d02f9b1fe9e1daa0718270ed5, 000000000000000000000000158079ee67fce2f58472a96584a73c7ab9ac95c1, 00000000000000000000000039aa39c021dfbae8fac545936693ac917d5e7563, 000000000000000000000000b3319f5d18bc0d84dd1b4825dcde5d5f7266d407
0x1fad089805f7964ed96fd55eb43be6743fdc58d4c9fadb1944160cae08e45f6c,enterMarkets,0xc2998238, 0000000000000000000000000000000000000000000000000000000000000020, 0000000000000000000000000000000000000000000000000000000000000006, 0000000000000000000000006c8c6b02e7b2be14d4fa6022dfd6d75921d90e4e, 000000000000000000000000f5dce57282a584d2746faf1593d3121fcac444dc, 0000000000000000000000004ddc2d193948926d02f9b1fe9e1daa0718270ed5, 000000000000000000000000158079ee67fce2f58472a96584a73c7ab9ac95c1, 00000000000000000000000039aa39c021dfbae8fac545936693ac917d5e7563, 000000000000000000000000b3319f5d18bc0d84dd1b4825dcde5d5f7266d407
0x0ed6d1f6d7df09d499b59c859dbeb6621d14dbca41e72b6600d47d6dc51ca399,enterMarkets,0xc2998238, 0000000000000000000000000000000000000000000000000000000000000020, 0000000000000000000000000000000000000000000000000000000000000006, 0000000000000000000000006c8c6b02e7b2be14d4fa6022dfd6d75921d90e4e, 000000000000000000000000f5dce57282a584d2746faf1593d3121fcac444dc, 0000000000000000000000004ddc2d193948926d02f9b1fe9e1daa0718270ed5, 000000000000000000000000158079ee67fce2f58472a96584a73c7ab9ac95c1, 00000000000000000000000039aa39c021dfbae8fac545936693ac917d5e7563, 000000000000000000000000b3319f5d18bc0d84dd1b4825dcde5d5f7266d407
0x2a39148fd5c6bc31dc1d0250e74c613e7b3a6cb78747e6cfb8928207cbd7cead,enterMarkets,0xc2998238, 0000000000000000000000000000000000000000000000000000000000000020, 0000000000000000000000000000000000000000000000000000000000000006, 0000000000000000000000006c8c6b02e7b2be14d4fa6022dfd6d75921d90e4e, 000000000000000000000000f5dce57282a584d2746faf1593d3121fcac444dc, 0000000000000000000000004ddc2d193948926d02f9b1fe9e1daa0718270ed5, 000000000000000000000000158079ee67fce2f58472a96584a73c7ab9ac95c1, 00000000000000000000000039aa39c021dfbae8fac545936693ac917d5e7563, 000000000000000000000000b3319f5d18bc0d84dd1b4825dcde5d5f7266d407
0xc89499c72d03109409abe9e4cd775806ccb5989069fb3eee99a3ef266e8e8ce3,enterMarkets,0xc2998238, 0000000000000000000000000000000000000000000000000000000000000020, 0000000000000000000000000000000000000000000000000000000000000006, 0000000000000000000000006c8c6b02e7b2be14d4fa6022dfd6d75921d90e4e, 000000000000000000000000f5dce57282a584d2746faf1593d3121fcac444dc, 0000000000000000000000004ddc2d193948926d02f9b1fe9e1daa0718270ed5, 000000000000000000000000158079ee67fce2f58472a96584a73c7ab9ac95c1, 00000000000000000000000039aa39c021dfbae8fac545936693ac917d5e7563, 000000000000000000000000b3319f5d18bc0d84dd1b4825dcde5d5f7266d407
0x266e5610eb5b47406ea0686a07612845596140e2aa4ca0cac3680d4f8e8f93d1,enterMarkets,0xc2998238, 0000000000000000000000000000000000000000000000000000000000000020, 0000000000000000000000000000000000000000000000000000000000000006, 0000000000000000000000006c8c6b02e7b2be14d4fa6022dfd6d75921d90e4e, 000000000000000000000000f5dce57282a584d2746faf1593d3121fcac444dc, 0000000000000000000000004ddc2d193948926d02f9b1fe9e1daa0718270ed5, 000000000000000000000000158079ee67fce2f58472a96584a73c7ab9ac95c1, 00000000000000000000000039aa39c021dfbae8fac545936693ac917d5e7563, 000000000000000000000000b3319f5d18bc0d84dd1b4825dcde5d5f7266d407
0xdee87c3ae0eceaa45aace1ad295b2e865747aa813c954dfc08249e1b89b59249,enterMarkets,0xc2998238, 0000000000000000000000000000000000000000000000000000000000000020, 0000000000000000000000000000000000000000000000000000000000000006, 0000000000000000000000006c8c6b02e7b2be14d4fa6022dfd6d75921d90e4e, 000000000000000000000000f5dce57282a584d2746faf1593d3121fcac444dc, 0000000000000000000000004ddc2d193948926d02f9b1fe9e1daa0718270ed5, 000000000000000000000000158079ee67fce2f58472a96584a73c7ab9ac95c1, 00000000000000000000000039aa39c021dfbae8fac545936693ac917d5e7563, 000000000000000000000000b3319f5d18bc0d84dd1b4825dcde5d5f7266d407
0xb6c098f95bfbdce11fb91f9ce7a530d3d9e41f93755193aeecaf6e4a98737778,enterMarkets,0xc2998238, 0000000000000000000000000000000000000000000000000000000000000020, 0000000000000000000000000000000000000000000000000000000000000006, 0000000000000000000000006c8c6b02e7b2be14d4fa6022dfd6d75921d90e4e, 000000000000000000000000f5dce57282a584d2746faf1593d3121fcac444dc, 0000000000000000000000004ddc2d193948926d02f9b1fe9e1daa0718270ed5, 000000000000000000000000158079ee67fce2f58472a96584a73c7ab9ac95c1, 00000000000000000000000039aa39c021dfbae8fac545936693ac917d5e7563, 000000000000000000000000b3319f5d18bc0d84dd1b4825dcde5d5f7266d407
0x58f299110913d6802bbcc05be1f0f304c2cf9a3f8ab390c3c9d5438587367cbe,enterMarkets,0xc2998238, 0000000000000000000000000000000000000000000000000000000000000020, 0000000000000000000000000000000000000000000000000000000000000006, 0000000000000000000000006c8c6b02e7b2be14d4fa6022dfd6d75921d90e4e, 000000000000000000000000f5dce57282a584d2746faf1593d3121fcac444dc, 0000000000000000000000004ddc2d193948926d02f9b1fe9e1daa0718270ed5, 000000000000000000000000158079ee67fce2f58472a96584a73c7ab9ac95c1, 00000000000000000000000039aa39c021dfbae8fac545936693ac917d5e7563, 000000000000000000000000b3319f5d18bc0d84dd1b4825dcde5d5f7266d407
0xbe9add2a646264aeeaf7b77a314ead443d62b48f7fe0376e6f6f40b485072bfc,enterMarkets,0xc2998238, 0000000000000000000000000000000000000000000000000000000000000020, 0000000000000000000000000000000000000000000000000000000000000006, 0000000000000000000000006c8c6b02e7b2be14d4fa6022dfd6d75921d90e4e, 000000000000000000000000f5dce57282a584d2746faf1593d3121fcac444dc, 0000000000000000000000004ddc2d193948926d02f9b1fe9e1daa0718270ed5, 000000000000000000000000158079ee67fce2f58472a96584a73c7ab9ac95c1, 00000000000000000000000039aa39c021dfbae8fac545936693ac917d5e7563, 000000000000000000000000b3319f5d18bc0d84dd1b4825dcde5d5f7266d407
0xbdde15b7c5a3c81868cd461f4a3cc6ef60b7bd1321f46235483d03333386d326,enterMarkets,0xc2998238, 0000000000000000000000000000000000000000000000000000000000000020, 0000000000000000000000000000000000000000000000000000000000000006, 0000000000000000000000006c8c6b02e7b2be14d4fa6022dfd6d75921d90e4e, 000000000000000000000000f5dce57282a584d2746faf1593d3121fcac444dc, 0000000000000000000000004ddc2d193948926d02f9b1fe9e1daa0718270ed5, 000000000000000000000000158079ee67fce2f58472a96584a73c7ab9ac95c1, 00000000000000000000000039aa39c021dfbae8fac545936693ac917d5e7563, 000000000000000000000000b3319f5d18bc0d84dd1b4825dcde5d5f7266d407
0x47414fabb25b2a86e38f2e5fb77c8627d8a771eec4454f08b8638169ac4e4581,enterMarkets,0xc2998238, 0000000000000000000000000000000000000000000000000000000000000020, 0000000000000000000000000000000000000000000000000000000000000006, 0000000000000000000000006c8c6b02e7b2be14d4fa6022dfd6d75921d90e4e, 000000000000000000000000f5dce57282a584d2746faf1593d3121fcac444dc, 0000000000000000000000004ddc2d193948926d02f9b1fe9e1daa0718270ed5, 000000000000000000000000158079ee67fce2f58472a96584a73c7ab9ac95c1, 00000000000000000000000039aa39c021dfbae8fac545936693ac917d5e7563, 000000000000000000000000b3319f5d18bc0d84dd1b4825dcde5d5f7266d407
